Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712810142.32,0,0,37.0,0.0,0.0,0.0,27.894160156250003,31.349585677968555,1006.9312820467594,52.740966373496654,234485.5
1712810144.3,0,0,38.0,0.0,0.0,0.0,27.895625,31.36084920290341,1006.9302667542645,52.74946230407984,232901.0
1712810146.32,0,0,25.0,0.0,0.0,0.0,27.8969921875,31.35818918307508,1006.9308141169649,52.74488199026848,235074.5
1712810148.3,0,0,35.0,0.0,0.0,0.0,27.89796875,31.361060152083017,1006.9289872558803,52.76016911458676,236581.0
1712810150.31,0,0,35.0,0.0,0.0,0.0,27.90021484375,31.361262193056795,1006.9301328915939,52.750582463024536,234644.5
1712810152.29,0,0,33.5,0.0,0.0,0.0,27.9032421875,31.364317993989594,1006.9256770100427,52.78786927075559,235489.0
1712810154.32,0,0,36.5,0.0,0.0,0.0,27.90470703125,31.370015996509576,1006.9177616451373,52.854105187827926,234745.0
1712810156.29,0,0,34.5,0.0,0.0,0.0,27.90529296875,31.375635330775737,1006.9213229790969,52.8243038031501,232409.0
1712810158.32,0,0,40.5,0.0,0.0,0.0,27.90568359375,31.389587881869666,1006.9228347088044,52.81165364931656,235988.0
1712810160.27,0,0,40.5,0.0,0.0,0.0,27.90412109375,31.3894472433401,1006.9331752597258,52.72512417316014,236327.0
1712810162.32,0,0,36.5,0.0,0.0,0.0,27.9048046875,31.392292588531966,1006.9463864115772,52.614574401370454,235833.5
1712810164.3,0,0,29.0,0.0,0.0,0.0,27.90421875,31.389455940239863,1006.9376500650599,52.68767919399308,236497.5
1712810166.3,0,0,35.5,0.0,0.0,0.0,27.90421875,31.389455940239863,1006.9376500650599,52.68767919399308,236497.5
1712810168.29,0,0,35.5,0.0,0.0,0.0,27.9034375,31.397736631956437,1006.9518765391222,52.56863405989243,233313.5
1712810170.34,0,0,33.0,0.0,0.0,0.0,27.9034375,31.422792667222055,1006.9855139633195,52.28716581004407,236672.5
1712810172.29,0,0,34.0,0.0,0.0,0.0,27.90255859375,31.42271343965158,1006.9642156861507,52.46538292097252,233737.5
1712810174.29,0,0,35.5,0.0,0.0,0.0,27.9040234375,31.43955218726641,1006.9476754229395,52.603788202597634,233727.5
1712810176.32,0,0,29.5,0.0,0.0,0.0,27.906171875,31.44253016921976,1006.9486587609618,52.59555971027023,234902.0
1712810178.27,0,0,29.5,0.0,0.0,0.0,27.90705078125,31.445394072468588,1006.9483945496656,52.59777060443713,235352.0
1712810180.32,0,0,31.0,0.0,0.0,0.0,27.90626953125,31.434185426646078,1006.9427835645774,52.64472256395666,234564.0
1712810182.29,0,0,29.5,0.0,0.0,0.0,27.9065625,31.434211837498108,1006.9484455014865,52.59734424664453,237008.0
1712810184.32,0,0,39.5,0.0,0.0,0.0,27.9075390625,31.423162331929177,1006.9431685864075,52.64150074164353,237179.5
1712810186.27,0,0,39.5,0.0,0.0,0.0,27.9079296875,31.409276923063533,1006.9377803007017,52.68658937259488,234751.0
1712810188.32,0,0,35.0,0.0,0.0,0.0,27.906757812499997,31.42309201273797,1006.9410076036614,52.659583659987184,233727.5
1712810190.33,0,0,31.0,0.0,0.0,0.0,27.906757812499997,31.425876205410905,1006.9306575928215,52.746191834440395,234904.5
1712810192.32,0,0,38.5,0.0,0.0,0.0,27.90734375,31.425929030571233,1006.927318926271,52.7741296651768,235242.5
1712810194.29,0,0,36.0,0.0,0.0,0.0,27.9067578125,31.43701386259189,1006.9297950908145,52.753409188569336,234399.0
1712810196.35,0,0,36.0,0.0,0.0,0.0,27.90685546875,31.439807198013682,1006.9239198876705,52.80257281976078,233898.0
